County,County Percent Average,,Percentage Range
Adams,37.46%,,25-50
Allen,38.82%,,25-50
Ashland,19.83%,,10-25
Ashtabula,19.04%,,10-25
Athens,33.55%,,25-50
Auglaize,41.05%,,25-50
Belmont,21.52%,,10-25
Brown,21.69%,,10-25
Butler,32.53%,,25-50
Carroll,37.45%,,25-50
Champaign,20.26%,,10-25
Clark,28.19%,,25-50
Clermont,22.53%,,10-25
Clinton,28.04%,,25-50
Columbiana,19.47%,,10-25
Coshocton,29.31%,,25-50
Crawford,22.68%,,10-25
Cuyahoga,27.96%,,25-50
Darke,39.37%,,25-50
Defiance,41.56%,,25-50
Delaware,24.50%,,10-25
Erie,25.52%,,25-50
Fairfield,35.64%,,25-50
Fayette,23.78%,,10-25
Franklin,32.54%,,25-50
Fulton,33.06%,,25-50
Gallia,18.53%,,10-25
Geauga,18.63%,,10-25
Greene,33.82%,,25-50
Guernsey,24.41%,,10-25
Hamilton,32.67%,,25-50
Hancock,48.62%,,25-50
Hardin,37.49%,,25-50
Harrison,36.70%,,25-50
Henry,49.60%,,25-50
Highland,34.98%,,25-50
Hocking,24.16%,,10-25
Holmes,42.43%,,25-50
Huron,18.52%,,10-25
Jackson,51.24%,,50-75
Jefferson,13.44%,,10-25
Knox,31.86%,,25-50
Lake,29.06%,,25-50
Lawrence,29.63%,,25-50
Licking,38.14%,,25-50
Logan,29.43%,,25-50
Lorain,22.30%,,10-25
Lucas,21.15%,,10-25
Madison,26.40%,,25-50
Mahoning,21.90%,,10-25
Marion,31.96%,,25-50
Medina,25.72%,,25-50
Meigs,14.85%,,10-25
Mercer,34.66%,,25-50
Miami,32.09%,,25-50
Monroe,14.72%,,10-25
Montgomery,32.41%,,25-50
Morgan,42.66%,,25-50
Morrow,16.09%,,10-25
Muskingum,16.80%,,10-25
Noble,30.96%,,25-50
Ottawa,31.48%,,25-50
Paulding,54.16%,,50-75
Perry,10.04%,,10-25
Pickaway,48.59%,,25-50
Pike,33.87%,,25-50
Portage,25.26%,,25-50
Preble,40.84%,,25-50
Putnam,51.74%,,50-75
Richland,37.81%,,25-50
Ross,40.21%,,25-50
Sandusky,18.74%,,10-25
Scioto,17.28%,,10-25
Seneca,30.50%,,25-50
Shelby,56.92%,,50-75
Stark,27.04%,,25-50
Summit,26.69%,,25-50
Trumbull,21.13%,,10-25
Tuscarawas,26.42%,,25-50
Union,41.66%,,25-50
Van Wert,70.73%,,50-75
Vinton,72.01%,,50-75
Warren,29.80%,,25-50
Washington,38.66%,,25-50
Wayne,28.78%,,25-50
Williams,34.45%,,25-50
Wood,35.56%,,25-50
Wyandot,33.90%,,25-50